shop_name,shop_business,shop_website,telephone_number,street_address,state,postal_code,star_rating,last_updated_at_UTC
Latore,Cafes and Coffee Shops,,020 7240 6069,"32 Endell St,",London,WC2H 9AG,,05-Nov-2021 13:39:57
The Larder @ Soho,Cafes and Coffee Shops,https://www.sohostel.co.uk/,020 8821 5394,"91-92 Dean Street,",London,W1D 3SY,,05-Nov-2021 13:39:57
Saint Dough,Cafes and Coffee Shops,http://www.saintdough.com,,"67 Neal Street, Covent Garden,",LONDON,WC2H 9PJ,,05-Nov-2021 13:39:57
Coffee Verona,Cafes and Coffee Shops,http://www.cafeverona.co.uk,020 7831 0138,"184 Drury Lane,",London,WC2B 5QD,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7434 9339,"26-28 Piccadilly,",London,W1J 0DJ,,05-Nov-2021 13:39:57
Freggo,Cafes and Coffee Shops,http://www.freggo.co.uk/,020 7287 9506,"27-29 Swallow St,",London,W1B 4DW,,05-Nov-2021 13:39:57
Deca,Cafes and Coffee Shops,,,"174 Drury Lane, Holborn,",LONDON,WC2B 5QF,,05-Nov-2021 13:39:57
Greggs,Cafes and Coffee Shops,http://www.greggs.co.uk,020 7839 7459,"Westminister Underground Station, Bridge St,",London,SW1A 2JR,,05-Nov-2021 13:39:57
Spaccanapoli,Cafes and Coffee Shops,,020 7240 3994,"8 Earnshaw Street, Covent Garden,",LONDON,WC2H 8JZ,,05-Nov-2021 13:39:57
Riverside Terrace Cafe,Cafes and Coffee Shops,http://www.companyofcooks.com/,020 7921 0758,"2 Southbank Centre Belvedere Rd,",London,SE1 8XX,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7437 1497,"62 Brewer Street,",London,W1F 9TF,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 7412,"1a St Giles High St,",London,WC2H 8AG,,05-Nov-2021 13:39:57
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7734 7632,"6a Vigo St,",London,W1S 3HF,,05-Nov-2021 13:39:57
Soho Coffee Club,Cafes and Coffee Shops,,020 8821 5394,"91-92 Dean St,",London,W1D 3SY,,05-Nov-2021 13:39:57
Soho Coffee Club,Cafes and Coffee Shops,http://www.sohostel.co.uk,020 7734 6342,"91 Dean St,",London,W1D 3SL,,05-Nov-2021 13:39:57
Starbucks Coffee Co (Uk) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 7536,"129-133 Charing Cross Rd,",London,WC2H 0EW,,05-Nov-2021 13:39:57
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7379 5448,"9-11, Westminster,",London,WC2B 6UN,,05-Nov-2021 13:39:57
Bola Bola Boba,Cafes and Coffee Shops,https://www.bolabolaboba.co.uk/,07861 724878,"Unit 18 The Market Place Peckham, Rye Lane,",London,SE15 5EW,,05-Nov-2021 13:39:57
Cotton Cafe,Cafes and Coffee Shops,,020 7287 3200,"82 Berwick St,",London,W1F 8TP,,05-Nov-2021 13:39:57
Sweet N Savoury,Cafes and Coffee Shops,https://www.sweetnsavoury.co.uk/,020 7625 7996,"237 Kilburn High Road,",LONDON,NW6 7JN,,05-Nov-2021 13:39:57
Sweetzcity Ltd,Cafes and Coffee Shops,http://www.sweetzcity.co.uk,07983 240537,"71-75 Shelton Stt,",London,WC2H 9JQ,1.8 out of 5 stars from 5 ratings,05-Nov-2021 13:39:57
Broomfield Cafe,Cafes and Coffee Shops,http://palmersgreenlocksmiths.com,020 3953 9615,"64 Aldermans Hill,",London,N13 4PP,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6773,"65 Kingsway, Holborn,",LONDON,WC2B 6TD,,05-Nov-2021 13:39:57
Drury 188-189,Cafes and Coffee Shops,http://www.drury188189.co.uk,020 7831 7555,"188-189 Drury Lane, Holborn,",LONDON,WC2B 5QD,,05-Nov-2021 13:39:57
St Anna,Cafes and Coffee Shops,https://www.facebook.com/st.anna.chelsea/,020 7751 5893,"453 Fulham Rd,",London,SW10 9UZ,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Eat,Cafes and Coffee Shops,http://www.eat.co.uk,020 7287 8394,"8-12 Broadwick Street,",London,W1F 8HW,,05-Nov-2021 13:39:57
BlueBox.,Cafes and Coffee Shops,http://www.theblueboxinlondon.com,020 3675 5173,"1386 High Rd,",London,N20 9BH,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7321 2315,"Westminster Station,",London,SW1A 2JR,,05-Nov-2021 13:39:57
Victoria House,Cafes and Coffee Shops,http://www.victoriahouseco.com,07490 000079,"5 Coptic St,",London,WC1A 1NH,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Bola Bola Boba,Tea and Coffee Specialist Shops,https://www.bolabolaboba.co.uk/,07861 724878,"Unit 18 The Market Place Peckham, Rye Lane,",London,SE15 5EW,,05-Nov-2021 13:39:57
Espresso Bar,Cafes and Coffee Shops,https://www.facebook.com/espressobarhackneydowns,020 7747 2885,"Trafalgar Square,",London,WC2N 5DN,,05-Nov-2021 13:39:57
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7404 4939,"51 Great Russell St,",London,WC1B 3BA,4.0 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
Cafe in the Crypt,Cafes and Coffee Shops,http://www.smitf.org,020 7766 1158,"within St. Martin in the Fields, Duncannon St,",London,WC2N 4JF,,05-Nov-2021 13:39:57
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7240 5789,"99 St Martins Lane,",London,WC2N 4AS,4.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,http://www.pret.com,020 7932 5248,"25 Villiers St,",London,WC2N 6ND,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Tunnel Meal,Cafes and Coffee Shops,http://www.tunnelmeals.co.uk,020 7839 6116,"12 The Arches Villiers St,",London,WC2N 6NG,5.0 out of 5 stars from 3 ratings,05-Nov-2021 13:39:57
The Espresso Room,Cafes and Coffee Shops,http://www.theespressoroom.co.uk,020 3583 6949,"24 New Row, Charing Cross,",LONDON,WC2N 4LA,5.0 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
Bonapartes,Cafes and Coffee Shops,http://www.compass-group.com,020 7930 9553,"Charing Cross Station Strand,",London,WC2N 5HS,,05-Nov-2021 13:39:57
Waterstones Booksellers Ltd,Cafes and Coffee Shops,,020 7839 5675,"43891 Strand,",London,WC2N 5EJ,,05-Nov-2021 13:39:57
