shop_name,shop_business,shop_website,telephone_number,street_address,state,postal_code,star_rating,last_updated_at_UTC
Saladpride,Cafes and Coffee Shops,http://www.saladpride.com,020 7836 2779,"2 Neal's Yard,",London,WC2H 9DP,,10-Dec-2021 19:14:10
Petit Coffeee Shop,Cafes and Coffee Shops,,020 7439 4499,"ground floor, 10 Lower John St,",London,W1F 9EA,,10-Dec-2021 19:14:10
Costa,Cafes and Coffee Shops,https://www.costa.co.uk,020 7379 5448,"44144 Kingsway,",London,WC2B 6AN,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/120-125-strand,020 7240 2689,"120-125 Strand,",London,WC2R 0AP,,10-Dec-2021 19:14:10
Syrup of Soot Ltd,Cafes and Coffee Shops,http://www.syrupofsoot.com,020 7242 1022,"38 Museum St,",London,WC1A 1LP,4.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 9981,"76 Regent St,",London,W1B 5RA,,10-Dec-2021 19:14:10
Franx Snack Bar,Cafes and Coffee Shops,,020 7836 7989,"192 Shaftesbury Avenue,",London,WC2H 8JL,,10-Dec-2021 19:14:10
The Manette,Cafes and Coffee Shops,http://www.manettecafe.co.uk,020 7287 0456,"16 Manette Street,",London,W1D 4AR,,10-Dec-2021 19:14:10
Higher Grounds Coffee Dealers,Cafes and Coffee Shops,,020 7440 3207,"113-119 Charing Cross Rd,",London,WC2H 0EB,,10-Dec-2021 19:14:10
Cafe De Provence,Cafes and Coffee Shops,,020 7497 2757,"14 Drury Lane,",London,WC2B 5RB,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/93-95-wardour-st,020 7932 5261,"95-95 Wardour St Soho,",London,W1F 0UE,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/3-duke-of-york,020 7839 6390,"3 Duke of York,",London,SW1Y 6JP,,10-Dec-2021 19:14:10
The Black Penny,Cafes and Coffee Shops,http://www.theblackpenny.co.uk,020 7242 2580,"34 Great Queen St,",London,WC2B 5AA,,10-Dec-2021 19:14:10
Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310,"68A Regent Street, Soho,",LONDON,W1B 5RJ,,10-Dec-2021 19:14:10
Costa Pronto,Cafes and Coffee Shops,https://www.costa.co.uk,020 7321 2315,"Bridge Street,",London,SW1A 2JR,,10-Dec-2021 19:14:10
Beany,Cafes and Coffee Shops,http://www.daisygreenfood.com/,,"Belvedere Road,",LONDON,SE1 8XX,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7240 2471,"7b Kingsway,",London,WC2B 6XG,,10-Dec-2021 19:14:10
Fernandez & Wells,Cafes and Coffee Shops,http://www.fernandezandwells.com,020 3302 9799,"1-3 Denmark Street, Charing Cross,",LONDON,WC2H 8LP,,10-Dec-2021 19:14:10
Presotea,Cafes and Coffee Shops,,020 7287 0627,"80 Dean Street,",London,W1D 3SL,,10-Dec-2021 19:14:10
The Breakfast Club,Cafes and Coffee Shops,https://thebreakfastclubcafes.com/,020 3727 5543,"11 Berwick Street,",London,W1F 0PL,,10-Dec-2021 19:14:10
Greggs,Cafes and Coffee Shops,http://www.greggs.co.uk,020 7240 5396,"143 The Strand, Westminster,",London,WC2R 1JA,,10-Dec-2021 19:14:10
Lick,Cafes and Coffee Shops,http://www.lick-gelato.com,020 8617 0042,"55 Greek St,",London,W1D 3DT,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5335,"55 Frith St,",London,W1D 4SJ,,10-Dec-2021 19:14:10
Flat White,Cafes and Coffee Shops,http://www.flatwhitecafe.com/,020 7734 0370,"17 Berwick St,",London,W1F 0PT,,10-Dec-2021 19:14:10
Coco Di Mama,Cafes and Coffee Shops,https://www.cocodimama.co.uk/,020 7379 5496,"15 Kingsway,",London,WC2B 6UN,,10-Dec-2021 19:14:10
Damson & Company,Cafes and Coffee Shops,,,"21 Brewer Street, Soho,",LONDON,W1F 0RL,,10-Dec-2021 19:14:10
The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646,"150 Strand, Charing Cross,",LONDON,WC2R 1JA,,10-Dec-2021 19:14:10
Bourbon Coffee,Cafes and Coffee Shops,http://www.bourboncoffeeuk.com,020 7287 4849,"103 Charing Cross Rd,",London,WC2H 0DT,,10-Dec-2021 19:14:10
Poetry Cafe,Cafes and Coffee Shops,http://www.poetrysociety.org.uk,020 7420 9888,"22 Betterton St,",London,WC2H 9BX,3.5 out of 5 stars from 4 ratings,10-Dec-2021 19:14:10
Pure,Cafes and Coffee Shops,https://www.pure.co.uk/shops/shaftesbury-ave/,020 7240 1555,"151 Shaftesbury Avenue,",London,WC2H 8AL,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6874,"83 84 Long Acre,",London,WC2E 9NG,,10-Dec-2021 19:14:10
Kahve Dunyasi,Cafes and Coffee Shops,http://www.kahvedunyasi.co.uk,020 7287 9063,"Unit 3, 200 Piccadilly,",London,W1J 9HU,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/37-shelton-street,020 7932 5466,"37 Shelton St,",London,WC2H 9HN,,10-Dec-2021 19:14:10
H2c Gelati Ltd,Cafes and Coffee Shops,http://www.amorino.com,020 7494 3300,"41 Old Compton St,",London,W1D 6HF,,10-Dec-2021 19:14:10
Caffe Concerto Ltd,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6844,"29-31 Piccadilly,",London,W1J 0LF,,10-Dec-2021 19:14:10
Fornus,Cafes and Coffee Shops,https://www.facebook.com/fornussoho,020 3648 5876,"55 Frith Street,",London,W1D 4SJ,,10-Dec-2021 19:14:10
Kissaten,Cafes and Coffee Shops,http://www.kissaten.co.uk,020 3976 2045,"30 Brewer Street,",London,W1F 0SS,,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 1956,"60-66 Wardour St,",London,W1F 0TA,,10-Dec-2021 19:14:10
St James Cafe,Cafes and Coffee Shops,,020 7930 1420,"41 Pall Mall,",London,SW1Y 5JG,,10-Dec-2021 19:14:10
Lundenwic,Cafes and Coffee Shops,,,"47 Aldwych, Charing Cross,",LONDON,WC2B 4DR,,10-Dec-2021 19:14:10
Mont Ruby Tea,Cafes and Coffee Shops,,020 7437 0439,"100 Shaftesbury Avenue,",London,W1D 5EE,,10-Dec-2021 19:14:10
Il Panino,Cafes and Coffee Shops,,020 7405 3825,"21 Newton St,",London,WC2B 5EL,5.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Wings,Cafes and Coffee Shops,,0207379 6090,"39 Drury Lane,",London,WC2B 5RR,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7434 3887,"43 Frith St,",London,W1D 4SA,,10-Dec-2021 19:14:10
Double Shot,Cafes and Coffee Shops,,020 7240 9742,"38A Tavistock Street, Covent Garden,",LONDON,WC2E 7PB,,10-Dec-2021 19:14:10
Lundenwic,Cafes and Coffee Shops,http://www.lundenwic.com,,"45 Aldwych, Charing Cross,",LONDON,WC2B 4DW,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/35-frith-street,020 7287 6729,"35 Frith St,",London,W1D 5LQ,,10-Dec-2021 19:14:10
Amorino,Cafes and Coffee Shops,http://www.amorino.com/,020 7494 3300,"41 Old Compton St,",London,W1D 6HF,,10-Dec-2021 19:14:10
Pistachios in the Park - Red Lion Cafe,Cafes and Coffee Shops,https://redlion.cafe?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 3116 0024,"Red Lion Square Gardens,",London,WC1R 4QH,,10-Dec-2021 19:14:10
Cafe W,Cafes and Coffee Shops,https://www.waterstones.com,020 7851 2400,"203-205 Piccadilly,",London,W1J 9HD,,10-Dec-2021 19:14:10
Duke's Cafe,Cafes and Coffee Shops,http://www.dukescaffecatering.co.uk,020 7930 2884,"7 Duke St, St. James's,",London,SW1Y 6BN,,10-Dec-2021 19:14:10
Soho Coffee Co,Cafes and Coffee Shops,https://sohocoffee.com/?utm_source=ExtNet&utm_medium=Yext,020 3358 6774,"138 Strand,",London,WC2R 1QA,,10-Dec-2021 19:14:10
Tsujiri,Cafes and Coffee Shops,http://www.tsujiri.co.uk,07445 521929,"47 Rupert St,",London,W1D 7PD,,10-Dec-2021 19:14:10
Hideaway Coffee,Cafes and Coffee Shops,,,"7 Smiths Court, Haymarket,",LONDON,W1D 7DW,,10-Dec-2021 19:14:10
Joe & The Juice,Cafes and Coffee Shops,http://www.joejuice.com/,,"46 Dean Street, Soho,",LONDON,W1D 4QD,,10-Dec-2021 19:14:10
BIG BITE Convenience Store (24 Hour),Cafes and Coffee Shops,,020 7434 4498,"52 Wardour Street,",LONDON,W1D 6QU,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7520 5150,"Customer Services, 9-15, Neal St,",London,WC2H 9PW,,10-Dec-2021 19:14:10
Vegan Hippo,Cafes and Coffee Shops,,020 7734 8574,"52 Rupert Street, Chinatown,",LONDON,W1D 6DS,,10-Dec-2021 19:14:10
Share Tea,Cafes and Coffee Shops,,020 7734 9097,"65 Shaftesbury Avenue, Chinatown,",LONDON,W1D 6LH,,10-Dec-2021 19:14:10
Patisserie Valerie,Cafes and Coffee Shops,http://www.patisserie-valerie.co.uk,020 7240 5592,"80 Long Acre,",London,WC2E 9NG,3.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Machi Machi,Cafes and Coffee Shops,,,"59 Shaftesbury Avenue, Chinatown,",LONDON,W1D 6LF,,10-Dec-2021 19:14:10
Moosh Cafe,Cafes and Coffee Shops,,020 7386 8688,"Kingly Street, Soho,",LONDON,W1B 5PW,5.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
26 Grains,Cafes and Coffee Shops,http://www.26grains.com,,"1 Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,10-Dec-2021 19:14:10
Jacob The Angel,Cafes and Coffee Shops,http://www.jacobtheangel.co.uk,,"16A Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,10-Dec-2021 19:14:10
Pret A Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/65-long-acre,020 7932 5324,"65 Long Acre,",London,WC2E 9JD,,10-Dec-2021 19:14:10
Yolo,Cafes and Coffee Shops,,07912 349609,"1 Tower Street, Covent Garden,",LONDON,WC2H 9NP,,10-Dec-2021 19:14:10
Pride Kitchen,Cafes and Coffee Shops,http://www.pride.kitchen,020 7836 2779,"2B Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,10-Dec-2021 19:14:10
Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310,"68a Regent Street,",London,W1B 5RJ,,10-Dec-2021 19:14:10
My Cup of Tea,Cafes and Coffee Shops,http://www.mycupoftea.co.uk,020 7287 2255,"Unit 5 Denman Place,",London,W1D 7HH,,10-Dec-2021 19:14:10
The Breakfast Club,Cafes and Coffee Shops,http://www.thebreakfastclubcafes.com,020 7434 2571,"33 D'Arblay St,",London,W1F 8EU,3.9 out of 5 stars from 13 ratings,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5271,"135 Strand,",London,WC2R 1HH,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7836 5951,"39 Shelton St, Camden,",London,WC2H 9HJ,,10-Dec-2021 19:14:10
Bibi's Kitchen,Cafes and Coffee Shops,,,"5 Smiths Court, Haymarket,",LONDON,W1D 7DW,,10-Dec-2021 19:14:10
Latore,Cafes and Coffee Shops,,020 7240 6069,"32 Endell St,",London,WC2H 9AG,,10-Dec-2021 19:14:10
St James Kitchen,Cafes and Coffee Shops,,020 3583 7552,"36 St James's St,",London,E17 7PF,5.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646,"150 Strand, Charing Cross,",LONDON,WC2R 0RN,,10-Dec-2021 19:14:10
The Larder @ Soho,Cafes and Coffee Shops,https://www.sohostel.co.uk/,020 8821 5394,"91-92 Dean Street,",London,W1D 3SY,,10-Dec-2021 19:14:10
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7494 6842,"79-81 Regent St,",London,W1B 4EG,,10-Dec-2021 19:14:10
Saint Dough,Cafes and Coffee Shops,http://www.saintdough.com,,"67 Neal Street, Covent Garden,",LONDON,WC2H 9PJ,,10-Dec-2021 19:14:10
Coffee Verona,Cafes and Coffee Shops,http://www.cafeverona.co.uk,020 7831 0138,"184 Drury Lane,",London,WC2B 5QD,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7434 9339,"26-28 Piccadilly,",London,W1J 0DJ,,10-Dec-2021 19:14:10
Cafe Ritazza,Cafes and Coffee Shops,http://www.ritazza.com,020 7494 9665,"Malta House, 36-38, Piccadilly,",London,W1J 0DP,,10-Dec-2021 19:14:10
Freggo,Cafes and Coffee Shops,http://www.freggo.co.uk/,020 7287 9506,"27-29 Swallow St,",London,W1B 4DW,,10-Dec-2021 19:14:10
Deca,Cafes and Coffee Shops,,,"174 Drury Lane, Holborn,",LONDON,WC2B 5QF,,10-Dec-2021 19:14:10
Greggs,Cafes and Coffee Shops,http://www.greggs.co.uk,020 7839 7459,"Westminister Underground Station, Bridge St,",London,SW1A 2JR,,10-Dec-2021 19:14:10
Spaccanapoli,Cafes and Coffee Shops,,020 7240 3994,"8 Earnshaw Street, Covent Garden,",LONDON,WC2H 8JZ,,10-Dec-2021 19:14:10
Riverside Terrace Cafe,Cafes and Coffee Shops,http://www.companyofcooks.com/,020 7921 0758,"2 Southbank Centre Belvedere Rd,",London,SE1 8XX,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7437 1497,"62 Brewer Street,",London,W1F 9TF,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 7412,"1a St Giles High St,",London,WC2H 8AG,,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7734 7632,"6a Vigo St,",London,W1S 3HF,,10-Dec-2021 19:14:10
Soho Coffee Club,Cafes and Coffee Shops,,020 8821 5394,"91-92 Dean St,",London,W1D 3SY,,10-Dec-2021 19:14:10
Soho Coffee Club,Cafes and Coffee Shops,http://www.sohostel.co.uk,020 7734 6342,"91 Dean St,",London,W1D 3SL,,10-Dec-2021 19:14:10
Starbucks Coffee Co (Uk) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 7536,"129-133 Charing Cross Rd,",London,WC2H 0EW,,10-Dec-2021 19:14:10
Cotton Cafe,Cafes and Coffee Shops,,020 7287 3200,"82 Berwick St,",London,W1F 8TP,,10-Dec-2021 19:14:10
Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6773,"65 Kingsway, Holborn,",LONDON,WC2B 6TD,,10-Dec-2021 19:14:10
Sweetzcity Ltd,Cafes and Coffee Shops,http://www.sweetzcity.co.uk,07983 240537,"71-75 Shelton Stt,",London,WC2H 9JQ,1.7 out of 5 stars from 6 ratings,10-Dec-2021 19:14:10
Drury 188-189,Cafes and Coffee Shops,http://www.drury188189.co.uk,020 7831 7555,"188-189 Drury Lane, Holborn,",LONDON,WC2B 5QD,,10-Dec-2021 19:14:10
Eat,Cafes and Coffee Shops,http://www.eat.co.uk,020 7287 8394,"8-12 Broadwick Street,",London,W1F 8HW,,10-Dec-2021 19:14:10
Victoria House,Cafes and Coffee Shops,http://www.victoriahouseco.com,07490 000079,"5 Coptic St,",London,WC1A 1NH,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7321 2315,"Westminster Station,",London,SW1A 2JR,,10-Dec-2021 19:14:10
Broomfield Cafe,Cafes and Coffee Shops,http://palmersgreenlocksmiths.com,020 3953 9496,"64 Aldermans Hill,",London,N13 4PP,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Laduree,Cafes and Coffee Shops,https://www.laduree.co.uk/238918/laduree-london-covent-garden.html,020 7240 0706,"1 The Market The Piazza,",London,WC2E 8RA,,10-Dec-2021 19:14:10
Venchi,Cafes and Coffee Shops,,0203632 1668,"18 Covent Garden Market, Covent Garden,",London,WC2E 8RB,,10-Dec-2021 19:14:10
Absolutely Fad Cafe,Cafes and Coffee Shops,,020 7930 5394,"32 Coventry St,",London,W1D 6BR,,10-Dec-2021 19:14:10
